"id","nama_menu","harga","variants","sold_out","image_url"
"1","SUNDAE","10000","['CHOCOLATE', 'OREO', 'STRAWBERRY']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU__20251030050702_thumb.webp"
"2","ICE CREAM CONE","7273","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_549_20241022200713_thumb.webp"
"3","MIE GACOAN","10910","['LEVEL 0', 'LEVEL 1', 'LEVEL 2', 'LEVEL 3', 'LEVEL 4', 'LEVEL 6 (+Rp 910)', 'LEVEL 8 (+Rp 910)']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_858_20251027104529_thumb.webp"
"4","MIE HOMPIMPA","10910","['LEVEL 1', 'LEVEL 2', 'LEVEL 3', 'LEVEL 4', 'LEVEL 6 (+Rp 910)', 'LEVEL 8 (+Rp 910)']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_859_20251027104639_thumb.webp"
"5","MIE SUIT","10910","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_836_20251027105030_thumb.webp"
"6","SIOMAY","10000","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_27_20251101071126_thumb.webp"
"7","UDANG RAMBUTAN","10000","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_32_20251031170419_thumb.webp"
"8","UDANG KEJU","10000","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_31_20251031170356_thumb.webp"
"9","LUMPIA UDANG","10000","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_9_20251031170259_thumb.webp"
"10","PANGSIT GORENG","10910","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_26_20251031170312_thumb.webp"
"11","ES GOBAK SODOR","9546","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_3_20230908134054_thumb.webp"
"12","ES TEKLEK","6819","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_6_20230908135711_thumb.webp"
"13","ES SLUKU BATHOK","6819","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_5_20230908135433_thumb.webp"
"14","ES PETAK UMPET","9546","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_4_20230908135128_thumb.webp"
"15","AIR MINERAL","5000","[]","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_924_20251103165722_thumb.webp"
"16","TEA","5000","['HOT', 'ICED']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_912_20251101091556_thumb.webp"
"17","ORANGE","5910","['ICED', 'HOT']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU_971_20251101091634_thumb.webp"
"18","LEMON TEA","6819","['ICED', 'HOT']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU__20251029173554_thumb.webp"
"19","CHOCOAN","8637","['ICED', 'HOT']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU__20251030043823_thumb.webp"
"20","VANILLA LATTE","8637","['ICED', 'HOT']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU__20251030041311_thumb.webp"
"21","TEH TARIK","7273","['ICED', 'HOT']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU__20251030041816_thumb.webp"
"22","THAI TEA","8637","['ICED']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU__20251031084223_thumb.webp"
"23","THAI GREEN TEA","8637","['ICED']","No","https://esb-order.oss-ap-southeast-5.aliyuncs.com/images/app/menu/MNU__20251031084555_thumb.webp"
