"id","nama_menu","harga","variants","sold_out"
"1","SUNDAE","10000","['CHOCOLATE', 'OREO', 'STRAWBERRY']","No"
"2","ICE CREAM CONE","7273","[]","No"
"3","MIE GACOAN","10910","['LEVEL 0', 'LEVEL 1', 'LEVEL 2', 'LEVEL 3', 'LEVEL 4', 'LEVEL 6 (+Rp 910)', 'LEVEL 8 (+Rp 910)']","No"
"4","MIE HOMPIMPA","10910","['LEVEL 1', 'LEVEL 2', 'LEVEL 3', 'LEVEL 4', 'LEVEL 6 (+Rp 910)', 'LEVEL 8 (+Rp 910)']","No"
"5","MIE SUIT","10910","[]","No"
"6","SIOMAY","10000","[]","No"
"7","UDANG RAMBUTAN","10000","[]","No"
"8","UDANG KEJU","10000","[]","No"
"9","LUMPIA UDANG","10000","[]","No"
"10","PANGSIT GORENG","10910","[]","No"
"11","ES GOBAK SODOR","9546","[]","No"
"12","ES TEKLEK","6819","[]","No"
"13","ES SLUKU BATHOK","6819","[]","No"
"14","ES PETAK UMPET","9546","[]","No"
"15","AIR MINERAL","5000","[]","No"
"16","TEA","5000","['HOT', 'ICED']","No"
"17","ORANGE","5910","['ICED', 'HOT']","No"
"18","LEMON TEA","6819","['ICED', 'HOT']","No"
"19","CHOCOAN","8637","['ICED', 'HOT']","No"
"20","VANILLA LATTE","8637","['ICED', 'HOT']","No"
"21","TEH TARIK","7273","['ICED', 'HOT']","No"
"22","THAI TEA","8637","['ICED']","No"
"23","THAI GREEN TEA","8637","['ICED']","No"
